,men_population_city_18_20,men_population_city_20_25,men_population_city_25_30,men_population_city_30_35,men_population_city_35_40,men_population_city_40_100,men_population_country_18_20,men_population_country_20_25,men_population_country_25_30,men_population_country_30_35,men_population_country_35_40,men_population_country_40_100,women_population_city_18_20,women_population_city_20_25,women_population_city_25_30,women_population_city_30_35,women_population_city_35_40,women_population_city_40_100,women_population_country_18_20,women_population_country_20_25,women_population_country_25_30,women_population_country_30_35,women_population_country_35_40,women_population_country_40_100,first_18_20,second_18_20,third_18_20,fourth_18_20,five_more_18_20,first_20_25,second_20_25,third_20_25,fourth_20_25,five_more_20_25,first_25_30,second_25_30,third_25_30,fourth_25_30,five_more_25_30,first_30_35,second_30_35,third_30_35,fourth_30_35,five_more_30_35,first_35_40,second_35_40,third_35_40,fourth_35_40,five_more_35_40,first_40_100,second_40_100,third_40_100,fourth_40_100,five_more_40_100,married,idx_price,idx_med,idx_school,idx_preschool,idx_baby,idx_school_up,per_zozh,divorce,poverty_lvl,birth_1,birth_2,birth_3
99,782.1862583021549,746.0688203171262,796.857748531555,791.904657815455,794.1872465520656,751.0069564585718,217.8137416978451,253.9311796828739,203.142251468445,208.0953421845449,205.8127534479344,248.9930435414281,771.614859742229,750.917635758636,822.0015540725843,823.6026305730611,815.6535851283564,779.120366559662,228.385140257771,249.0823642413639,177.9984459274157,176.3973694269389,184.3464148716436,220.879633440338,44.13281088884306,128.1191998350175,108.5275314497835,52.02103526500309,16.60136110538255,2.990307279851516,11.03320272221077,63.10579500928026,123.4275108269746,127.8098577026191,45.16395133017117,7.063312023097546,1.082697463394514,17.78717261290988,42.37987213858528,65.83831717879974,39.18333677046814,6.753969890699113,0.3093421323984327,5.258816250773355,13.61105382553104,20.98370798102702,15.67333470818726,3.351206434316354,0.0,1.546710661992163,9.074035883687358,13.45638275933182,11.08475974427717,2.629408125386678,9.287925696594426,994.7410200436595,995.1513952107658,1007.8573587186461,1010.253807106599,995.0199203187251,1028.8451941311507,154.0,10.78014184397163,119.0,968.9922480620155,956.5217391304348,1035.7142857142856
100,746.793380740347,714.4841567802973,765.4553905886856,757.6145744378025,764.8483303594188,657.8604898874281,253.2066192596531,285.5158432197026,234.5446094113144,242.3854255621976,235.1516696405812,342.1395101125719,742.2344866624213,721.8265434862235,841.1332941867294,830.5596634104684,803.7663986457892,702.7702177004182,257.7655133375787,278.1734565137764,158.8667058132707,169.4403365895316,196.2336013542107,297.2297822995818,36.14232209737828,113.4831460674157,114.4194756554307,58.33333333333334,17.88389513108614,2.808988764044944,5.711610486891385,46.62921348314607,127.1535580524344,139.8876404494382,51.96629213483146,6.928838951310861,0.9363295880149812,10.95505617977528,39.32584269662921,81.08614232209737,53.74531835205993,8.146067415730338,0.09363295880149813,2.247191011235955,9.9250936329588,19.19475655430712,17.69662921348315,4.213483146067416,0.0,1.404494382022472,3.838951310861423,11.04868913857678,11.61048689138577,3.183520599250936,10.663914688682489,997.9096157674697,1003.2819492789657,1003.3986405437824,1000.4989522003793,1010.6957217113155,999.2006394884094,98.0,12.76595744680851,128.0,1000.0,964.9122807017545,1060.6060606060605
101,728.5749265426052,699.2487607106962,743.0930643850676,699.7369184447178,693.1260692718189,633.1349680576542,271.4250734573947,300.7512392893038,256.9069356149324,300.2630815552822,306.8739307281812,366.8650319423458,716.0932005652503,696.2678135364654,788.6259160356537,737.5869245215979,720.506329113924,662.1297276982473,283.9067994347497,303.7321864635347,211.3740839643463,262.4130754784021,279.493670886076,337.8702723017527,36.67831057478565,141.4734836456018,138.192018630253,67.95808193077167,20.11220493278289,3.4402455806076,6.615856885783847,49.11612152005928,134.3812850640415,140.732507674394,50.7039271726474,6.298295755266222,0.8468296813803323,11.53805440880703,33.1322112840055,56.89636921774108,32.81465015348788,5.292685508627077,0.1058537101725415,2.381708478882185,8.785857944320949,13.28464062665396,11.85561553932465,2.805123319572351,0.0,1.164390811897957,4.604636392505557,9.050492219752302,7.621467132422992,2.117074203450831,11.007911936704506,995.6288495926883,1003.0882645945406,1001.903616872057,1001.0010010010009,1001.000100010001,950.2993442934525,59.0,12.76595744680851,85.0,1000.0,1000.0,1095.2380952380954
102,983.9796199755755,983.8199433203717,983.2310858063804,982.4062395428454,983.800705884924,986.3740420376423,16.02038002442452,16.18005667962829,16.76891419361957,17.59376045715462,16.199294115076,13.62595796235771,986.1150009024316,983.5120953894564,984.6761397694016,983.2971112623117,983.8374014703783,986.3368310974366,13.88499909756841,16.48790461054363,15.32386023059836,16.70288873768835,16.1625985296218,13.66316890256336,19.71624266144814,101.2393998695369,159.2547292889759,116.5035877364645,40.39465101108937,8.341487279843443,2.902804957599478,36.20352250489237,96.50195694716243,137.0026092628833,65.06849315068493,11.29321591650359,0.1467710371819961,7.330397912589694,29.45205479452055,58.39856490541423,43.25668623613829,8.93672537508154,0.04892367906066537,0.9784735812133072,6.694390084801044,15.36203522504892,14.13078930202218,4.076973255055447,0.008153946510110893,0.1141552511415525,1.761252446183953,5.75668623613829,6.539465101108937,2.584801043705153,10.663914688682489,995.4310687326181,994.2766923228735,1002.198680791525,992.6280135485157,998.1018981018981,1005.5385224013451,67.0,10.78014184397163,60.0,980.0,960.0,1041.6666666666667
103,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,18.58240695106146,91.43347388788493,168.519431210412,123.2864209700089,37.49338298377234,7.885657959586004,2.372998923023566,30.02756329518281,97.67628643922386,153.3504919409306,69.65664530967636,12.19356369676725,0.1825383786941204,6.206304875600095,25.86568826095687,56.93372031469617,41.56398882865123,8.542796122884836,0.0,0.839676541992954,5.713451253125969,12.23007137250607,11.73721775003194,3.796798276837705,0.0,0.1277768650858843,1.186499461511783,5.129328441304784,5.804720442473029,1.661099246116496,16.511867905056754,994.7321339827055,992.0,999.7000899730081,1004.8000000000002,999.2006394884094,983.1566994700984,81.0,14.468085106382977,59.0,978.5714285714288,958.3333333333334,1045.4545454545455
104,934.0463458110518,950.8810572687225,942.4314660309892,935.8316709413889,936.4066680386911,926.8578893181742,65.9536541889483,49.11894273127753,57.56853396901072,64.16832905861119,63.59333196130891,73.14211068182573,925.776754890679,935.4873803307223,934.9644066625199,944.1999148090302,939.8566049414557,931.2663990136882,74.22324510932106,64.51261966927763,65.03559333748014,55.80008519096976,60.14339505854439,68.73360098631176,25.96153846153846,115.625,142.5480769230769,88.9423076923077,25.96153846153846,3.365384615384615,3.605769230769231,37.25961538461539,120.1923076923077,168.2692307692308,75.96153846153845,9.85576923076923,0.2403846153846154,5.288461538461538,24.75961538461538,56.97115384615385,41.10576923076923,7.932692307692307,0.0,1.201923076923077,3.846153846153846,11.77884615384615,12.5,3.365384615384615,0.0,0.2403846153846154,1.682692307692308,5.048076923076923,5.288461538461538,1.201923076923077,12.727898176814584,995.9276916964639,1005.5038526968877,1003.5960443512138,1000.0,998.003992015968,1000.0,336.0,9.078014184397164,110.0,928.5714285714287,941.1764705882352,904.7619047619048
105,534.0220876380477,586.1695209191415,617.3109243697479,632.4810339983142,688.1956419501489,693.5266805733127,465.9779123619522,413.8304790808585,382.6890756302521,367.5189660016859,311.8043580498511,306.4733194266873,692.6492353231376,668.6497672012416,784.171167428334,703.8675843985579,717.3122529644269,721.2491935676567,307.3507646768624,331.3502327987584,215.828832571666,296.1324156014422,282.6877470355731,278.7508064323433,70.7070707070707,122.4747474747475,71.96969696969697,39.77272727272727,13.88888888888889,1.262626262626263,14.52020202020202,66.91919191919192,130.0505050505051,120.5808080808081,47.97979797979798,5.050505050505051,0.6313131313131314,20.2020202020202,49.87373737373738,68.81313131313131,30.93434343434344,11.36363636363636,0.0,5.050505050505051,18.93939393939394,22.0959595959596,17.67676767676767,3.156565656565657,0.0,1.262626262626263,13.25757575757576,13.88888888888889,12.62626262626263,5.050505050505051,14.791881664946677,1000.0998402555912,999.1044776119402,1002.0082337584096,1001.4000000000001,994.1346058256287,1000.0,138.0,13.617021276595745,236.0,988.4393063583815,953.8461538461538,1131.578947368421
106,692.6782273603083,698.1785642121064,757.4138655981795,713.0237631809724,700.9620586644086,636.7883211678832,307.3217726396917,301.8214357878937,242.5861344018204,286.9762368190277,299.0379413355915,363.2116788321168,685.6524873828407,735.3872053872053,839.9626414679705,747.1769694264673,717.0760715429303,673.2556884288302,314.3475126171593,264.6127946127946,160.0373585320294,252.8230305735327,282.9239284570697,326.7443115711698,73.69977816120286,114.0415742338345,71.64571522471448,31.13959411716375,9.94166461260373,1.971900419028839,18.48656642839537,82.65549256429216,126.9410894749815,102.8674718593378,36.64448278695259,4.108125872976748,1.478925314271629,24.8952427902391,58.58187494864843,79.12250431353218,42.47802152657957,6.573001396762796,0.0,5.422726152329307,19.06170405061211,28.34606852353956,17.74710377125955,3.532988250760003,0.0,0.9859502095144195,7.065976501520007,14.62492810779722,12.07789006655164,3.861638320598143,14.103887168902647,997.7168949771691,996.4275081869605,998.898347521282,995.6982793117247,1010.3134074296585,998.1066268061784,56.0,13.617021276595745,209.0,1005.7471264367816,1016.1290322580645,1086.9565217391303
107,875.0,836.3558597091532,830.3040227061842,785.8190593356677,783.5018626929218,771.8499537890532,125.0,163.6441402908469,169.6959772938158,214.1809406643324,216.4981373070782,228.1500462109469,853.0988274706867,834.9969539341113,867.539376550405,852.5227056371729,850.5973941720279,816.36619081146,146.9011725293132,165.0030460658888,132.460623449595,147.4772943628271,149.4026058279721,183.63380918854,37.37061432988305,119.3708831832236,121.2528565667428,59.81986826186316,19.49186718644979,3.360666756284447,7.662320204328538,51.61984137652911,137.1152036564054,145.0463772012367,54.71165479231079,9.813146928350584,1.075413362011023,11.02298696061299,39.79029439440785,64.52480172066139,42.74768113993816,7.393466863825783,0.0,2.016400053770668,8.20002688533405,17.07218712192499,13.71152036564054,2.688533405027557,0.0,0.9409866917596451,5.108213469552359,7.796746874579917,6.990186853071649,2.285253394273424,9.287925696594426,993.8668513206054,998.2148170187445,989.2612110967486,989.4390754209425,996.6138830793744,1000.0,77.0,11.631205673758865,137.0,976.3779527559054,1000.0,1086.9565217391303
108,748.5566613515148,749.9921887205124,806.3438683184058,798.0307024344859,799.8644260520648,760.9013843995854,251.4433386484852,250.0078112794876,193.6561316815941,201.969297565514,200.1355739479352,239.0986156004147,750.6075162475275,760.9643867133202,858.0846020496008,829.1284290871178,813.5947794048772,797.4476098053171,249.3924837524724,239.0356132866798,141.9153979503992,170.8715709128822,186.4052205951229,202.5523901946828,55.7605421686747,123.3810240963855,95.06777108433735,45.48192771084337,12.23644578313253,2.334337349397591,12.08584337349398,74.09638554216868,124.9623493975904,111.972891566265,41.56626506024097,5.72289156626506,1.242469879518072,19.9171686746988,47.81626506024096,75.82831325301206,44.50301204819277,6.77710843373494,0.03765060240963856,4.066265060240964,15.02259036144578,23.45632530120482,16.52861445783132,3.275602409638554,0.0,0.9036144578313253,6.814759036144578,13.29066265060241,12.34939759036144,3.501506024096386,12.727898176814584,997.4134500596897,996.4299880999603,1001.8994301709488,1007.1256523484544,993.3240334794739,1012.8550074738416,77.0,14.751773049645392,176.0,988.3720930232558,983.6065573770492,1023.2558139534884
